brand_id,Name,No_of_items,Manufacturer
1,Ahold,3562,"Ahold USA, Inc."
2,Careone,1154,"Ahold USA, Inc."
3,Roland,688,American Roland Food Corp.
4,Nature's Promise,487,"Ahold USA, Inc."
5,Mccormick,463,"McCormick & Co., Inc."
6,Smart Living,454,"Ahold USA, Inc."
7,Sally Hansen,423,Coty Inc.
8,Goody,421,"Goody Products, Inc."
9,Companion,421,"Ahold USA, Inc."
10,Twinlab,377,Ideasphere Inc.
11,Nature's Way,366,Nature's Way Products Inc.
12,Betty Crocker,358,"General Mills, Inc."
13,Kraft,340,"Kraft Foods, Inc."
14,Gerber,316,Gerber Products Co.
15,Nature's Answer,309,Nature's Answer
16,Goya,307,"Goya Foods, Inc."
17,Aura Cacia,299,Frontier Natural Products CO-OP
18,Sports Tissues,294,
19,Manischewitz,288,Manischewitz
20,Liebers,276,
21,Kiss My Face,262,Kiss My Face Corp.
22,Badia,260,Badia Spices Inc.
23,Usda Meat,258,USDA Meat
24,Herb Pharm,236,Herb Pharm LLC
25,Guaranteed Value,234,"Ahold USA, Inc."
26,Gefen,234,Kenover Marketing Corp.
27,Pepperidge Farm,228,"Pepperidge Farm, Inc."
28,Ge,225,GE Lighting
29,Natrol,224,Natrol Inc
30,Streits,212,
31,Del Monte,205,Del Monte Foods
32,Lindt,196,Lindt & Sprungli
33,Huggies,196,"Kimberly-Clark Global Sales, LLC."
34,Campbell's,195,Campbell Soup Company
35,Nature Made,195,Pharmavite LLC
36,Simply Enjoy,194,"Ahold USA, Inc."
37,Glade,191,S.C. Johnson And Son
38,Alba Botanica,189,"The Hain Celestial Group, Inc."
39,Hyland's,188,Hyland's
40,Colgate,186,Colgate-Palmolive Company
41,La Preferida,184,"La Preferida, Inc."
42,L'oreal Paris,182,L'Oreal USA
43,Farberware,181,Hoan Products Ltd.
44,Boar's Head,181,Brunckhorst Co.
45,Rainbow Light,180,Rainbow Light Nutritional Sys.
46,Usda Produce,178,USDA Produce
47,Hershey's,178,The Hershey Company
48,Beech-nut,176,Beech-Nut Nutrition Corporation
49,Hartz,175,The Hartz Mountain Corporation
50,Burt's Bees,173,"Burt's Bees, Inc."
51,Reese,173,"World Finer Foods, Inc."
52,Ghirardelli,170,Ghirardelli Chocolate Company
53,Dove,169,Unilever Home And Personal Care USA
54,Osem,165,"Osem Usa, Inc."
55,Pillsbury,164,"General Mills, Inc."
56,Mrs. Meyer's,163,The Caldrea Company
57,Delallo,161,"George Delallo Co., Inc."
58,Scotch,160,3M
59,Paskesz,159,Paskesz Candy Company
60,Celestial Seasonings,159,"The Hain Celestial Group, Inc."
61,Utz,158,"UTZ Quality Foods, Inc."
62,Cottontails,157,"Ahold USA, Inc."
63,Jelly Belly,157,Jelly Belly Candy Company
64,Dole,157,Dole Fresh Vegetables
65,Quaker,156,The Quaker Oats Company
66,Jason,156,"The Hain Celestial Group, Inc."
67,Suave,155,Unilever Home And Personal Care USA
68,Nature's Bounty,155,"Nature's Bounty, Inc"
69,Amy's,153,Amy's Kitchen Inc.
70,Pampers,149,Procter & Gamble Company
71,Progresso,149,"General Mills, Inc."
72,Febreze,148,Procter & Gamble Company
73,Boiron,147,Boiron Inc.
74,Desert Essence,144,Desert Essence
75,Earth Therapeutics,144,
76,Seventh Generation,143,Seventh Generation
77,Yoplait,142,"Yoplait USA, Inc."
78,Herr's,139,Herr Foods Inc.
79,Air Wick,138,Reckitt Benckiser
80,Bobs Red Mill,138,
81,Arm & Hammer,136,"Church & Dwight Co., Inc."
82,Revlon,135,Revlon Consumer Products Corp.
83,Earth's Best,135,"The Hain Celestial Group, Inc."
84,Oscar Mayer,134,"Kraft Foods, Inc."
85,Jell-o,131,"Kraft Foods, Inc."
86,Simply Organic,131,Frontier Natural Products CO-OP
87,Hodgson Mill,131,Hodgson Mill Inc.
88,Neutrogena,131,Johnson & Johnson
89,Gatorade,129,The Gatorade Company
90,Lean Cuisine,129,Nestle USA Inc.
91,Lundberg,129,Lundberg Family Farms
92,Rubbermaid,128,Newell Rubbermaid
93,Lipton,127,Lipton
94,Giant,126,"Ahold USA, Inc."
95,Kellogg's,125,Kellogg Company
96,Godiva,125,"Godiva Chocolatier, Inc"
97,Keebler,123,Kellogg Company
98,Bigelow,122,"R.C. Bigelow, Inc."
99,Back To Nature,122,Back To Nature Foods Company
100,Kashi,121,Kashi International Corporation
101,Nature's Gate,120,Nature's Gate
102,Turkey Hill,120,Turkey Hill Dairy
103,Libman,120,The Libman Company
104,Spice Hunter,120,
